problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
27,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
27,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
27,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
27,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
27,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
27,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
28,bigsum,correct,1,NOT_RULED_OUT,,1
28,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
28,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
28,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
28,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
28,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
28,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
29,bigprod,correct,1,NOT_RULED_OUT,,1
29,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
29,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
29,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
29,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
29,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
29,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
30,power,correct,1,NOT_RULED_OUT,,1
30,power,random_offset,0,RULED_OUT_WRONG,1,0
30,power,digit_transpose,0,RULED_OUT_WRONG,1,0
30,power,off_by_power10,0,RULED_OUT_WRONG,1,0
30,power,sign_flip,0,RULED_OUT_WRONG,1,0
30,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
30,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
31,factorial,correct,1,NOT_RULED_OUT,,1
31,factorial,random_offset,0,RULED_OUT_WRONG,1,0
31,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
31,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
31,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
31,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
31,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
32,fibonacci,correct,1,NOT_RULED_OUT,,1
32,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
32,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
32,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
32,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
32,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
32,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
33,bigsum,correct,1,NOT_RULED_OUT,,1
33,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
33,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
33,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
33,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
33,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
33,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
34,bigprod,correct,1,NOT_RULED_OUT,,1
34,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
34,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
34,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
34,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
34,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
34,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
35,power,correct,1,NOT_RULED_OUT,,1
35,power,random_offset,0,RULED_OUT_WRONG,1,0
35,power,digit_transpose,0,RULED_OUT_WRONG,1,0
35,power,off_by_power10,0,RULED_OUT_WRONG,1,0
35,power,sign_flip,0,RULED_OUT_WRONG,1,0
35,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
35,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
36,factorial,correct,1,NOT_RULED_OUT,,1
36,factorial,random_offset,0,RULED_OUT_WRONG,1,0
36,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
36,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
36,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
36,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
36,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
37,fibonacci,correct,1,NOT_RULED_OUT,,1
37,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
37,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
37,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
37,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
37,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
37,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
38,bigsum,correct,1,NOT_RULED_OUT,,1
38,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
38,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
